seq,name/first,name/last,age,street,city,state,zip,dollar,pick,date
1,Christine,Harvey,52,Hobip Manor,Kehhuow,CT,40525,$2666.92,WHITE,11/17/2039
2,Bess,Romero,35,Obive Pass,Uwawubem,NJ,40418,$6390.04,GREEN,03/26/1902
3,Hulda,Soto,24,Edduc Court,Fikavkoj,NE,69235,$2749.51,BLUE,07/26/1994
4,Jesse,Bowman,32,Zaswi Manor,Kejrore,ME,86962,$7355.78,BLUE,01/16/1968
5,Ophelia,Knight,36,Fibac Highway,Giksuuve,MT,48662,$5607.31,BLUE,01/17/2057
6,Lelia,Joseph,30,Haave Manor,Wefcupak,IN,44605,$6734.97,WHITE,05/06/2054
7,Larry,Allison,18,Pekul Park,Tokonuj,NE,87443,$7963.62,YELLOW,12/14/1902
8,Isaac,McBride,53,Kupwe Ridge,Kipvonnu,NC,08570,$8304.76,GREEN,02/01/1950
9,Garrett,Austin,32,Gobe Junction,Bibobrer,MA,55297,$4598.87,BLUE,08/29/1956
10,Lulu,Hale,30,Vuji View,Firpaed,NH,90612,$4810.09,GREEN,09/19/1952
11,Curtis,Munoz,61,Aghun Point,Kiepseb,CA,32295,$4513.76,GREEN,08/22/2031
12,Jayden,Hill,29,Wojop Boulevard,Cujamuzu,NE,65766,$8230.08,BLUE,11/22/2011
13,Harry,Gutierrez,32,Zawup Trail,Cubevka,AK,82222,$6608.42,YELLOW,08/15/1956
14,Rebecca,Jennings,36,Deriz Avenue,Kugunudaj,NC,47039,$4038.84,BLUE,01/11/1981
15,Beatrice,Schneider,51,Rufape Square,Pipfugpu,ID,78156,$8442.01,BLUE,03/06/2067
16,Hattie,Palmer,41,Irene Pass,Altadew,DC,82261,$9083.24,BLUE,03/03/2001
17,Ida,White,35,Viluj Ridge,Fobatij,SD,46326,$1371.23,BLUE,08/24/1930
18,Ella,Marshall,34,Gajsoz View,Vojece,OK,56895,$9917.15,YELLOW,03/17/1993
19,Dennis,Johnston,33,Dafvap Heights,Ispisud,WI,55677,$1245.21,BLUE,07/02/1914
20,Steven,Santos,55,Danjej Heights,Citjogev,PA,29555,$4203.94,GREEN,01/12/1950
21,Gavin,Lucas,51,Kijij Pass,Cajtuovu,VA,08809,$8826.10,YELLOW,10/24/2050
22,Ina,Bridges,19,Rozek View,Ofuwaero,MO,42785,$6740.56,WHITE,09/17/1989
23,Nicholas,Nelson,35,Rufhov Pass,Cukulew,MS,96542,$9528.91,BLUE,03/20/1929
24,Brett,Robertson,51,Hamcu Way,Isemucva,WI,07077,$7629.66,WHITE,11/08/2059
25,Janie,Little,22,Guet Terrace,Sinwuka,AL,53770,$26.72,WHITE,08/02/2062
26,Cameron,Jennings,19,Pasa Square,Nodifo,IA,96077,$9630.22,BLUE,07/18/2002
27,Chester,Gomez,34,Odem Ridge,Nirodoh,OR,65639,$3464.87,YELLOW,07/06/1902
